model,faithfulness,answer_relevancy,answer_correctness,context_precision,context_recall,Genel Ortalama
cosmos_cevap,0.6464364426423249,0.8516475439346641,0.39736581748449806,0.2676666666422222,0.41666666666666663,0.5159566274740752
erdiari_cevap,0.48811704635234043,0.7966162805758956,0.3423602049237401,0.26499999997582224,0.39666666666666667,0.45775203969889294
matrixportal_cevap,0.5575704573204573,0.7768670761265731,0.367383330299505,0.24899999997812222,0.43666666666666665,0.47749750607826486
mradermacher_cevap,0.5840396825396825,0.7303984410881956,0.425049867988939,0.2509999999772222,0.43666666666666665,0.48543093165214113
troubadour_cevap,0.42634000442282177,0.8042919270425573,0.3453852799114114,0.26099999997658885,0.4066666666666666,0.44873677560400915
